,symbol,date,stop,targets,trades
459,CRSP,2023-05-10,63.52,"[70.63999999999999, 74.19999999999999]","[(1684123200000, 67.08, 1), (1684209600000, 63.52, -1)]"
460,ASO,2023-04-03,61.75,"[65.18, 66.89500000000001]","[(1681099200000, 63.465, 1), (1681185600000, 65.18, -0.5), (1681704000000, 64.62, -0.5)]"
461,ASO,2023-04-12,66.08,"[70.67999999999999, 72.97999999999999]","[(1681444800000, 68.38, 1), (1681704000000, 66.08, -1)]"
462,RUN,2023-02-02,25.23,"[27.6324, 28.8336]","[(1675832400000, 26.4312, 1), (1675918800000, 25.23, -1)]"
463,RUN,2023-05-30,16.91,"[19.029999999999998, 20.089999999999996]","[(1685592000000, 17.97, 1), (1685678400000, 19.029999999999998, -0.5), (1686542400000, 18.27, -0.5)]"
464,LNTH,2023-03-21,78.545,"[84.955, 88.16]","[(1679889600000, 81.75, 1), (1681099200000, 84.955, -0.5), (1682481600000, 83.99, -0.5)]"
465,UPST,2023-02-02,19.43,"[22.93, 24.68]","[(1675832400000, 21.18, 1), (1675918800000, 19.43, -1)]"
466,RIOT,2023-02-02,6.18,"[7.220000000000001, 7.740000000000001]","[(1675832400000, 6.7, 1), (1675918800000, 6.18, -1)]"
467,RIOT,2023-04-11,12.12,"[13.840000000000002, 14.700000000000003]","[(1681790400000, 12.98, 1), (1681876800000, 12.12, -1)]"
468,RIOT,2023-05-10,10.3436,"[11.3364, 11.832799999999999]","[(1684123200000, 10.84, 1), (1684296000000, 11.3364, -0.5), (1684382400000, 10.68, -0.5)]"
469,RIOT,2023-06-21,10.76,"[13.1794, 14.3891]","[(1687492800000, 11.9697, 1), (1687752000000, 10.76, -1)]"
470,TDOC,2023-02-02,29.93,"[32.25, 33.41]","[(1675746000000, 31.09, 1), (1676005200000, 29.93, -1)]"
471,LITE,2023-06-20,54.64,"[57.480000000000004, 58.900000000000006]","[(1687752000000, 56.06, 1), (1687838400000, 57.480000000000004, -0.5), (1687924800000, 55.1732, -0.5)]"
472,GH,2023-06-13,35.4002,"[38.6798, 40.3196]","[(1687406400000, 37.04, 1), (1687492800000, 35.4002, -1)]"
473,GH,2023-06-14,35.4002,"[38.6798, 40.3196]","[(1687406400000, 37.04, 1), (1687492800000, 35.4002, -1)]"
474,AI,2023-04-03,21.53,"[24.67, 26.240000000000002]","[(1681185600000, 23.1, 1), (1681272000000, 21.53, -1)]"
475,AI,2023-05-10,19.06,"[20.970000000000002, 21.925000000000004]","[(1684123200000, 20.015, 1), (1684209600000, 20.970000000000002, -0.5), (1685678400000, 30.6, -0.5)]"
476,AI,2023-05-15,25.06,"[30.44, 33.13]","[(1684728000000, 27.75, 1), (1684987200000, 30.44, -0.5), (1685678400000, 30.6, -0.5)]"
477,AI,2023-05-30,30.6,"[38.54, 42.51]","[(1685937600000, 34.57, 1), (1686024000000, 38.54, -0.5), (1686542400000, 36.01, -0.5)]"
478,AI,2023-06-13,40.64,"[47.16, 50.419999999999995]","[(1686801600000, 43.9, 1), (1686888000000, 47.16, -0.5), (1687320000000, 37.5, -0.5)]"
479,BE,2023-06-13,16.17,"[18.689999999999998, 19.949999999999996]","[(1686888000000, 17.43, 1), (1687406400000, 16.17, -1)]"
480,BTU,2023-02-14,25.5,"[27.759999999999998, 28.889999999999997]","[(1677128400000, 26.63, 1), (1677646800000, 27.759999999999998, -0.5), (1678078800000, 26, -0.5)]"
481,KSS,2023-06-15,21.33,"[22.700000000000003, 23.385000000000005]","[(1687752000000, 22.015, 1), (1687838400000, 22.700000000000003, -0.5), (1687924800000, 22.11, -0.5)]"
482,JWN,2023-06-29,18.95,"[20.74, 21.634999999999998]","[(1688702400000, 19.845, 1), (1689134400000, 20.74, -0.5), (1689220800000, 19.6, -0.5)]"
483,ARRY,2023-03-06,20.7245,"[22.6755, 23.651]","[(1678338000000, 21.7, 1), (1678424400000, 20.7245, -1)]"
484,PTON,2023-02-01,15.05,"[16.47, 17.18]","[(1675918800000, 15.76, 1), (1676005200000, 15.05, -1)]"
485,VKTX,2023-04-17,19.94,"[22.859999999999996, 24.319999999999993]","[(1682308800000, 21.4, 1), (1682395200000, 19.94, -1)]"
