,symbol,date,stop,targets,trades
369,TOL,2023-05-25,67.64,"[68.17999999999999, 68.44999999999999]","[(1685021580000, 67.91, 1), (1685021640000, 67.64, -1)]"
370,APA,2023-05-08,33.74,"[33.98, 34.099999999999994]","[(1683552900000, 33.86, 1), (1683552960000, 33.98, -0.5), (1683553620000, 33.74, -0.5)]"
371,QRVO,2023-05-04,95.94,"[98.19640000000001, 99.32460000000002]","[(1683207480000, 97.0682, 1), (1683207600000, 98.19640000000001, -0.5), (1683207660000, 99.32460000000002, -0.5)]"
372,CVNA,2023-03-22,9.41,"[10.190000000000001, 10.580000000000002]","[(1679492220000, 9.8, 1), (1679492400000, 9.41, -1)]"
373,CVNA,2023-05-25,11.85,"[12.15, 12.3]","[(1685021580000, 12, 1), (1685021640000, 11.85, -1)]"
374,CVNA,2023-06-01,13.42,"[13.799999999999999, 13.989999999999998]","[(1685626320000, 13.61, 1), (1685626380000, 13.799999999999999, -0.5), (1685626560000, 13.76, -0.5)]"
375,CVNA,2023-06-13,21.7,"[22.24, 22.509999999999998]","[(1686663120000, 21.97, 1), (1686663180000, 22.24, -0.5), (1686663300000, 21.711, -0.5)]"
376,CVNA,2023-06-29,27.5,"[28.04, 28.31]","[(1688045820000, 27.77, 1), (1688045880000, 27.5, -1)]"
377,CHWY,2023-05-03,31.31,"[31.63, 31.79]","[(1683120960000, 31.47, 1), (1683121140000, 31.63, -0.5), (1683121980000, 31.94, -0.5)]"
378,CLF,2023-03-01,21.56,"[21.7, 21.77]","[(1677681480000, 21.63, 1), (1677681540000, 21.7, -0.5), (1677681780000, 21.56, -0.5)]"
379,CLF,2023-03-14,19.61,"[19.75, 19.82]","[(1678800960000, 19.68, 1), (1678801080000, 19.75, -0.5), (1678801140000, 19.67, -0.5)]"
380,CLF,2023-03-20,17.85,"[18.009999999999998, 18.089999999999996]","[(1679319180000, 17.93, 1), (1679319360000, 17.85, -1)]"
381,CLF,2023-04-11,18.13,"[18.3274, 18.4261]","[(1681220100000, 18.2287, 1), (1681220280000, 18.3274, -0.5), (1681220520000, 18.27, -0.5)]"
382,CLF,2023-05-08,15.12,"[15.280200000000002, 15.360300000000004]","[(1683552900000, 15.2001, 1), (1683553020000, 15.12, -1)]"
383,CLF,2023-06-02,14.57,"[14.71, 14.780000000000001]","[(1685712960000, 14.64, 1), (1685713080000, 14.71, -0.5), (1685713140000, 14.595, -0.5)]"
384,CLF,2023-06-14,16.88,"[17.12, 17.240000000000002]","[(1686749640000, 17, 1), (1686749700000, 17.12, -0.5), (1686750000000, 17.025, -0.5)]"
385,ALLY,2023-04-14,27.11,"[27.29, 27.38]","[(1681479480000, 27.2, 1), (1681479540000, 27.11, -1)]"
386,ALLY,2023-05-05,24.71,"[25.089999999999996, 25.279999999999994]","[(1683293640000, 24.9, 1), (1683294060000, 25.089999999999996, -0.5), (1683294420000, 24.98, -0.5)]"
387,ETSY,2023-02-02,142.14,"[144.22000000000003, 145.26000000000005]","[(1675348320000, 143.18, 1), (1675348380000, 144.22000000000003, -0.5), (1675348920000, 144.4733, -0.5)]"
388,ETSY,2023-02-23,120.37,"[122.93, 124.21000000000001]","[(1677163080000, 121.65, 1), (1677163200000, 122.93, -0.5), (1677164220000, 124.9, -0.5)]"
389,ETSY,2023-04-04,112.35,"[113.4572, 114.0108]","[(1680615480000, 112.9036, 1), (1680615540000, 112.35, -1)]"
390,ETSY,2023-06-09,90.45,"[91.20979999999999, 91.58969999999998]","[(1686317760000, 90.8299, 1), (1686317940000, 91.20979999999999, -0.5), (1686318900000, 91.58969999999998, -0.5)]"
391,PARA,2023-02-02,24.85,"[25.11, 25.24]","[(1675348320000, 24.98, 1), (1675348380000, 24.85, -1)]"
392,PARA,2023-02-15,22.66,"[23.16, 23.41]","[(1676471520000, 22.91, 1), (1676471820000, 23.16, -0.5), (1676471940000, 22.93, -0.5)]"
393,PARA,2023-03-28,22.1,"[22.299999999999997, 22.399999999999995]","[(1680010500000, 22.2, 1), (1680010560000, 22.299999999999997, -0.5), (1680010620000, 22.27, -0.5)]"
