symbol,date,entry,stop,target,success
FCX,2023-06-02 09:30:00,36.89,36.72,37.06,1
FCX,2023-06-13 09:30:00,39.29,39.17,39.41,1
FCX,2023-07-12 09:30:00,40.72,40.551,40.888999999999996,-1
FCX,2023-08-22 09:30:00,39.29,39.18,39.4,-1
FCX,2023-09-11 09:30:00,40.47,40.29,40.65,-1
FCX,2023-09-14 09:30:00,40.94,40.84,41.03999999999999,1
PNC,2023-03-14 09:30:00,137.02,135.32,138.72000000000003,-1
PNC,2023-03-21 09:30:00,131.94,131.32,132.56,-1
PNC,2023-03-27 09:30:00,128.05,127.61,128.49,-1
NXPI,2023-05-02 09:30:00,173.9199,172.7,175.13980000000004,1
NXPI,2023-07-25 09:30:00,217.19,216.48,217.9,1
PSX,2023-04-03 09:30:00,103.55,103.17,103.92999999999999,1
PSX,2023-11-29 09:30:00,122.48,121.3,123.66000000000001,-1
MMM,2023-03-01 09:30:00,110.1376,109.74,110.53520000000002,1
MMM,2023-06-23 09:30:00,102.36,101.61,103.11,1
MNST,2023-11-03 09:30:00,55.84,55.34,56.34,-1
HUM,2023-07-14 09:30:00,434.3,433.1,435.5,1
OXY,2023-09-27 09:30:00,64.43,64.15,64.71000000000001,1
OXY,2023-10-09 09:30:00,62.98,62.61,63.349999999999994,1
PXD,2023-02-23 09:30:00,208.16,207.0001,209.3199,1
PXD,2023-04-10 09:30:00,223.9,222.22,225.58,-1
PXD,2023-05-05 09:30:00,212.25,211.7199,212.7801,1
PXD,2023-10-06 09:30:00,233.85,230.69,237.01,1
MRVL,2023-02-23 09:30:00,44.83,44.61,45.05,1
MRVL,2023-02-27 09:30:00,44.56,44.48,44.64000000000001,-1
MRVL,2023-05-25 09:30:00,48.685,48.26,49.11000000000001,-1
MRVL,2023-05-30 09:30:00,66.0199,65.5471,66.49270000000001,-1
MRVL,2023-06-07 09:30:00,62.78,61.92,63.64,1
MRVL,2023-06-13 09:30:00,62.97,62.54,63.4,-1
MRVL,2023-07-11 09:30:00,61.6477,61.32,61.9754,-1
MRVL,2023-07-27 09:30:00,65.38,65.2,65.55999999999999,1
MRVL,2023-08-24 09:30:00,61.335,61.01,61.660000000000004,-1
MRVL,2023-11-02 09:30:00,48.96,48.65,49.27,1
MRVL,2023-11-14 09:30:00,55.55,55.33,55.769999999999996,1
ADSK,2023-08-24 09:30:00,212.75,208.76,216.74,-1
EL,2023-06-14 09:30:00,189.81,188.7,190.92000000000002,1
DHI,2023-04-20 09:30:00,107.84,106.77,108.91000000000001,1
DHI,2023-07-20 09:30:00,127.26,126.04,128.48000000000002,-1
F,2023-02-02 09:30:00,14.14,14.03,14.250000000000002,-1
F,2023-09-22 09:30:00,12.54,12.44,12.639999999999999,1
F,2023-10-26 09:30:00,11.82,11.72,11.92,-1
COF,2023-03-27 09:30:00,92.3,92.1401,92.45989999999999,1
GM,2023-02-02 09:30:00,40.18,39.93,40.43,-1
GM,2023-05-01 09:30:00,33.84,33.64,34.040000000000006,1
GM,2023-06-09 09:30:00,37.59,37.22,37.96000000000001,-1
GM,2023-10-26 09:30:00,29.57,29.33,29.810000000000002,-1
GM,2023-11-29 09:30:00,31.75,31.56,31.94,-1
TFC,2023-10-10 09:30:00,29.0394,28.8,29.2788,-1
MCHP,2023-05-30 09:30:00,79.4,79.14,79.66000000000001,-1
MCHP,2023-11-03 09:30:00,75.11,74.35,75.87,1
MET,2023-03-14 09:30:00,60.3,60.15,60.449999999999996,-1
MET,2023-03-27 09:30:00,55.69,55.56,55.81999999999999,-1
